text,allowed_votes
"Quem é o mais provável de ser cancelado nas redes sociais por um comentário horrível do passado?",1
"Se precisássemos desenterrar um cadáver, quem teria mais facilidade em achar uma pá e não fazer perguntas?",1
"Quem venderia a própria mãe por um aumento de salário?",1
"Quem mentiria no currículo e seria desmascarado na entrevista?",1
"Quem traiu o melhor amigo por um affair sem sentido?",1
"Quem sumiria com o dinheiro da vaquinha do grupo?",1
"Quem falaria 'ele mereceu' sobre o assassino de um parente distante só para ser polêmico?",1
"Quem criaria um perfil falso para dar em cima da(o) namorada(o) de um de nós?",1
"Quem venderia fotos íntimas do ex para a internet?",1
"Quem plagiaría o trabalho de faculdade de todo mundo e faria todo mundo ser reprovado?",1
"Quem cheiraria o pó do banheiro da firma e seria demitido em público?",1
"Quem é o mais provável de ter um caso extraconjugal com o(a) sogro(a)?",1
"Quem falsificaria a assinatura dos pais em um cheque?",1
"Quem falaria o segredo mais bem guardado do grupo por um like?",1
"Quem deixaria um amigo preso para não ter que pagar fiança?",1
"Quem roubaría a identidade de um mendigo para aplicar golpes?",1
"Quem daria uma golpada em um idoso e se orgulharia?",1
"Quem trocaria a família por uma chance de fama?",2
"Quem seria capaz de dar uma rasteira na própria avó em uma fila?",1
"Quem falaria 'foi mal' depois de causar um acidente de carro por bobeira e fugiria?",1
"Quem falsificaria atestado médico para faltar no velório de um tio?",1
"Quem faria um empréstimo no nome dos pais e gastaria tudo em rinha de galo?",1
"Quem gravaría a conversa privada de um amigo para chantageá-lo depois?",1
"Quem seria o pior advogado de defesa, a ponto de garantir a condenação do cliente?",1
"Quem seria capaz de cuspir na comida de alguém que o irritou?",1
"Quem dormiría com o(a) parceiro(a) de um amigo e depois pediria desculpas por mensagem?",1
"Quem venderia o presente de natal que ganhou no mesmo dia?",1
"Quem abandonaría um animal de estimação depois de se cansar dele?",1
"Quem usaria dinheiro doado para tratamento de câncer para comprar uma TV nova?",1
"Quem diria 'não me arrependo de nada' depois de destruir a vida de alguém?",1
"Quem seria capaz de gravar um vídeo íntimo e vazar para pagar uma dívida de jogo?",1
"Quem falsificaria um teste de DNA para herdar uma fortuna que não é dele?",1
"Quem roubaria a identidade de um morto para começar uma vida nova?",1
"Quem deixaria o cachorro do vizinho morrer de fome só por não gostar do dono?",1
"Quem daria uma festa e cobraria os amigos pela água e pela luz usada?",1
"Quem seria o primeiro a pular a cerca no relacionamento aberto e não contaria?",1
"Quem mentiria sobre ter uma doença grave para ganhar presentes?",1
"Quem venderia o presente de aniversário do próprio filho no ML?",1
"Quem seria capaz de processar um amigo por uma brincadeira besta?",1
"Quem sumiria com a herança dos irmãos usando um testamento falso?",1
"Quem faria um filho só para não ter que trabalhar e viver de pensão?",1
"Quem sabotaria o casamento dos outros só por inveja?",1
"Quem pegaria dinheiro da carteira dos pais e fingiria que foi assalto?",1
"Quem seria capaz de dar uma facada pelas costas por uma vaga de estacionamento?",1
"Quem criaria um boato falso sobre um colega para roubar a promoção dele?",1
"Quem usaria o cartão de crédito do parceiro sem perguntar para comprar coisa para o amante?",1
"Quem faria uma dívida no nome dos avós e deixaria eles se virarem?",1
"Quem daria golpe em app de relacionamento para ganhar jantar grátis?",1
"Quem venderia o rim para comprar um iPhone e depois se arrependeria?",1
"Quem seria o pior médico, a ponto de operar a perna errada?",1
"Quem abandonaria a família para virar mendigo por opção?",1
"Quem falsificaria a carteira de vacinação do filho para não ter que levar no posto?",1
"Quem seria capaz de cagar na piscina do prédio e não assumir?",1
"Quem pegaria o empréstimo consignado da mãe aposentada e nunca pagaria?",1
"Quem trocaria de lado numa discussão só para se dar bem?",1
"Quem faria um escândalo no velório para ser o centro das atenções?",1
"Quem seria capaz de furtar a caixa de doação para crianças com câncer?",1
"Quem dormiria com o chefe para conseguir um cargo e depois pediria demissão?",1
"Quem gravaria a conversa da terapia de um amigo para fazer piada depois?",1
"Quem seria o último a ser solto em um sequestro relâmpago, porque ninguém pagaria por ele?",1
"Quem falsificaria atestado de óbito para não ir ao próprio velório?",1
"Quem trocaria a senha do Wi-Fi do hospício só para ver a confusão?",1
"Quem seria capaz de vender a alma por meia entrada no cinema?",1
"Quem faria gato na rede de gás e explodiria o prédio por economia?",1
"Quem daria calote no agiota e se esconderia na casa da sogra?",1
"Quem roubaria a placa de 'PARE' e causaria um acidente fatal?",1
