text,allowed_votes
"Quem é o mais provável de dar o cano no rolê na última hora sem avisar?",1
"Quem pegaria o último pedaço de pizza sem querer enquanto todos ainda estão comendo?",1
"Quem é o mais provável de fingir que não viu a mensagem do grupo para não se comprometer?",1
"Quem marcaria presença na foto do grupo sem ter aparecido no rolê?",1
"Quem é o mais provável de dizer 'tô chegando' ainda deitado na cama?",1
"Quem daria um conselho de vida tão ruim que arruinaria a vida de um amigo?",1
"Quem é o mais provável de defender o próprio erro até o fim só para não pedir desculpas?",1
"Quem cobraria do amigo uma dívida de cinco anos atrás com juros e correção?",1
"Quem é o mais provável de se gabar de uma conquista que claramente não aconteceu?",1
"Quem reclamaria da comida do restaurante e mesmo assim pediria para repetir?",1
"Quem é o mais provável de sumir por meses e voltar como se nada tivesse acontecido?",1
"Quem fingiria ter lido o livro só para participar da conversa?",1
"Quem é o mais provável de dar opinião de futebol sem nunca ter assistido a um jogo inteiro?",1
"Quem pediria a playlist emprestada e reclamaria de todas as músicas?",1
"Quem é o mais provável de se atrasar para o próprio aniversário?",1
"Quem diria 'eu avisei' depois do problema acontecer, sem nunca ter avisado?",1
"Quem é o mais provável de dormir no meio do filme e depois dizer que o final era previsível?",1
"Quem criaria um grupo paralelo no WhatsApp para falar do grupo principal?",1
"Quem é o mais provável de dizer que vai emendar a semana e sumir no meio do expediente?",1
"Quem comeria o lanche do amigo por engano e negaria até a morte?",1
"Quem é o mais provável de prometer entrar na dieta antes da viagem e chegar dois quilos mais pesado?",1
"Quem transformaria a conquista do amigo em uma história sobre si mesmo?",1
"Quem é o mais provável de dar conselho amoroso sendo o mais atrapalhado da turma?",1
"Quem marcaria presença no rolê só para passar o tempo inteiro no celular?",1
"Quem é o mais provável de se perder no próprio bairro e culpar o GPS?",1
"Quem faria a divisão da conta na calculadora duas vezes para pagar cinquenta centavos a menos?",1
"Quem é o mais provável de achar que chegou na hora estando quarenta minutos atrasado?",1
"Quem falaria mal do ex do amigo e depois sairia com ele escondido?",1
"Quem é o mais provável de usar o cartão do amigo só para testar e estourar o limite?",1
"Quem pegaria o último drink da rodada dizendo que o dono não ia querer?",1
"Quem é o mais provável de negar que viu a notificação da mensagem mesmo com o visto azul?",1
"Quem viraria a noite estudando para a prova que era amanhã e não hoje?",1
"Quem é o mais provável de falar 'pode confiar' justamente na hora em que não se pode confiar?",1
"Quem compraria ingresso para o show e passaria a semana contando como se fosse o dono da turnê?",1
"Quem é o mais provável de fazer drama por não ter sido chamado para um plano que ele mesmo recusou?",1
"Quem postaria a foto do amigo sem pedir permissão e ainda escolheria a pior dela?",1
"Quem é o mais provável de dizer 'só mais um' e transformar a noite em madrugada?",1
"Quem pediria comida e fingiria que não pediu só para dividir a do amigo?",1
"Quem é o mais provável de terminar o relacionamento e culpar o horóscopo?",1
"Quem adiantaria o jogo no celular para parecer mais inteligente que o resto do grupo?",1
"Quem é o mais provável de prometer que vai parar de fumar, beber ou jogar e quebrar a promessa no mesmo dia?",1
"Quem faria um post de fim de ano agradecendo a todo mundo que nem lembrou de ter convivido?",1
"Quem é o mais provável de dar meia hora de aula sobre um assunto que aprendeu ontem no YouTube?",1
"Quem deixaria o amigo no vácuo e apareceria dizendo que o celular descarregou?",1
"Quem é o mais provável de mudar de opinião sobre o próprio time três vezes no mesmo jogo?",1
"Quem é o mais provável de dormir no ponto do ônibus e acordar no terminal errado?",1
